,CL,ZS,ZM,ZL,SB,NZD,MBT,FLKTB
CL,1.0,0.38450055636888475,-0.011419677403710006,0.41716982748293147,-0.0012621625235629084,0.20344914257101146,0.3318573904740225,-0.07301831581205119
ZS,0.38450055636888475,1.0,0.610147339610925,0.6715497213251023,0.19557848921428114,0.28344539831190146,0.18010016753424063,-0.16231956301669923
ZM,-0.011419677403710006,0.610147339610925,1.0,-0.05591642344725123,0.07121723266605295,0.1473029500268871,-0.037327611734660385,0.0480782664363647
ZL,0.41716982748293147,0.6715497213251023,-0.05591642344725123,1.0,0.15541900734869643,0.08660792362626607,0.1923566736011312,-0.25465858317327933
SB,-0.0012621625235629084,0.19557848921428114,0.07121723266605295,0.15541900734869643,1.0,0.13638263020168936,-0.2103869479021421,-0.014188264212626195
NZD,0.20344914257101146,0.28344539831190146,0.1473029500268871,0.08660792362626607,0.13638263020168936,1.0,0.24446188911044092,0.004891538208449182
MBT,0.3318573904740225,0.18010016753424063,-0.037327611734660385,0.1923566736011312,-0.2103869479021421,0.24446188911044092,1.0,-0.05581994398301102
FLKTB,-0.07301831581205119,-0.16231956301669923,0.0480782664363647,-0.25465858317327933,-0.014188264212626195,0.004891538208449182,-0.05581994398301102,1.0
