,ZS,ZM,ZL,SB,MES,FLKTB
ZS,1.0,0.629709891094821,0.6182705852303463,0.1699420738783425,0.3564100768676229,-0.21234049836697816
ZM,0.629709891094821,1.0,-0.11150293286839298,0.01958911066659858,0.13534379732520924,-0.08353385702342729
ZL,0.6182705852303463,-0.11150293286839298,1.0,0.16162708984102292,0.2012512175928812,-0.21222633724297826
SB,0.1699420738783425,0.01958911066659858,0.16162708984102292,1.0,-0.1398178679288265,0.011099061871822406
MES,0.3564100768676229,0.13534379732520924,0.2012512175928812,-0.1398178679288265,1.0,-0.18187662344442337
FLKTB,-0.21234049836697816,-0.08353385702342729,-0.21222633724297826,0.011099061871822406,-0.18187662344442337,1.0
