"ClientAccountID","CurrencyPrimary","Symbol","Description","Conid","SecurityID","ListingExchange","TradeID","Multiplier","Strike","Expiry","Put/Call","TradeDate","Quantity","TradePrice","IBCommission","IBCommissionCurrency","CostBasis","FifoPnlRealized","IBOrderID","TransactionID","IBExecID","OrderTime","FXRateToBase","AssetClass","SubCategory","ISIN","FIGI","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","ReportDate","DateTime","SettleDateTarget","TransactionType","Exchange","TradeMoney","Proceeds","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","Buy/Sell","BrokerageOrderID","ExtExecID","OpenDateTime","HoldingPeriodDateTime","LevelOfDetail","OrderType"
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","1078819156","5000","","20251114","","20250212","-2","10.515","-6","USD","-107056","-1912","796442224","4967563798","0000dcd1.67abd617.01.01","20250207;112709","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","20250213","ExchTrade","CBOT","-105150","105150","744","10.44","C","P","SELL","01155124.0000e2da.67a1a8d5.0005","20131.456085.7011271894473.506","","","EXECUTION","STP"
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","","5000","","20251114","","20250212","2","10.7056","","","107056","-1912","","4958354549","","","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","","","CBOT","","","","","C","ST","SELL","","","20250204;113244","20250204;113244","CLOSED_LOT",""
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","1078819157","5000","","20251114","","20250212","-4","10.515","-12","USD","-214112","-3824","796442224","4967563799","0000dcd1.67abd616.01.01","20250207;112709","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","20250213","ExchTrade","CBOT","-210300","210300","1488","10.44","C","P","SELL","01155124.0000e2da.67a1a8d5.0005","20131.456085.7011271894473.505","","","EXECUTION","STP"
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","","5000","","20251114","","20250212","4","10.7056","","","214112","-3824","","4958354549","","","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","","","CBOT","","","","","C","ST","SELL","","","20250204;113244","20250204;113244","CLOSED_LOT",""
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","1078819166","5000","","20251114","","20250212","-3","10.515","-9","USD","-160584","-2868","796442224","4967563800","0000dcd1.67abd618.01.01","20250207;112709","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","20250213","ExchTrade","CBOT","-157725","157725","1116","10.44","C","P","SELL","01155124.0000e2da.67a1a8d5.0005","20131.456085.7011271894473.507","","","EXECUTION","STP"
"U15721173","USD","ZSX5","ZS 14NOV25","526262864","","CBOT","","5000","","20251114","","20250212","3","10.7056","","","160584","-2868","","4958354549","","","0.96312","FUT","","","BBG013CZ7HN1","11160664","ZS","","","","","20250212","20250212;035948","","","CBOT","","","","","C","ST","SELL","","","20250204;113244","20250204;113244","CLOSED_LOT",""
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","","5000","","20250314","","20250212","-6","5.7475","-18","USD","-172218","189","","","","","","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","","20250213","","CBOT","-172425","172425","132","","","","SELL","","","","","SYMBOL_SUMMARY",""
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","","5000","","20250314","","20250212","-6","5.7475","-18","USD","-172218","189","796417419","","","20250211;040800","0.96312","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","20250211;200042","20250213","","","-172425","172425","132","5.7425","C","C;P","SELL","","","","","ORDER","STP"
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","1078783800","5000","","20250314","","20250212","-5","5.7475","-15","USD","-143515","157.5","796417419","4967144403","0000dcd1.67abd38d.01.01","20250211;040800","0.96312","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","20250211;200042","20250213","ExchTrade","CBOT","-143687.5","143687.5","110","5.7425","C","P","SELL","01155124.0000e2da.67a1a8d7.0007","20131.466991.7011271295262.169","","","EXECUTION","STP"
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","","5000","","20250314","","20250212","5","5.7406","","","143515","157.5","","4958447961","","","0.96312","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","20250211;200042","","","CBOT","","","","","C","ST","SELL","","","20250204;123505","20250204;123505","CLOSED_LOT",""
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","1078783869","5000","","20250314","","20250212","-1","5.7475","-3","USD","-28703","31.5","796417419","4967144722","0000dcd1.67abd38e.01.01","20250211;040800","0.96312","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","20250211;200042","20250213","ExchTrade","CBOT","-28737.5","28737.5","22","5.7425","C","P","SELL","01155124.0000e2da.67a1a8d7.0007","20131.466991.7011271295262.170","","","EXECUTION","STP"
"U15721173","USD","ZWH5","ZW 14MAR25","573366607","","CBOT","","5000","","20250314","","20250212","1","5.7406","","","28703","31.5","","4958447961","","","0.96312","FUT","","","BBG018PVVKT5","11160683","ZW","","","","","20250212","20250211;200042","","","CBOT","","","","","C","ST","SELL","","","20250204;123505","20250204;123505","CLOSED_LOT",""
